country,n_years,debt_gdp_n,debt_gdp_share,debt_gdp_first,debt_gdp_last,d_debt_gdp_3y_n,d_debt_gdp_3y_share,d_debt_gdp_3y_first,d_debt_gdp_3y_last,int_rev_n,int_rev_share,int_rev_first,int_rev_last,primary_bal_gdp_n,primary_bal_gdp_share,primary_bal_gdp_first,primary_bal_gdp_last,r_minus_g_3y_n,r_minus_g_3y_share,r_minus_g_3y_first,r_minus_g_3y_last,slope_n,slope_share,slope_first,slope_last,real_ltrate_3y_n,real_ltrate_3y_share,real_ltrate_3y_first,real_ltrate_3y_last,infl_n,infl_share,infl_first,infl_last,d_infl_3y_n,d_infl_3y_share,d_infl_3y_first,d_infl_3y_last,ca_gdp_n,ca_gdp_share,ca_gdp_first,ca_gdp_last,ca_persist_3y_n,ca_persist_3y_share,ca_persist_3y_first,ca_persist_3y_last,rer_usd_chg_3y_n,rer_usd_chg_3y_share,rer_usd_chg_3y_first,rer_usd_chg_3y_last,real_wage_g_3y_n,real_wage_g_3y_share,real_wage_g_3y_first,real_wage_g_3y_last,credit_gap_5y_n,credit_gap_5y_share,credit_gap_5y_first,credit_gap_5y_last
Australia,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,118,0.7814569536423841,1902,2019,118,0.7814569536423841,1902,2019,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,141,0.9337748344370861,1874,2020
Belgium,151,137,0.9072847682119205,1870,2020,126,0.8344370860927153,1873,2020,136,0.9006622516556292,1870,2020,136,0.9006622516556292,1870,2020,139,0.9205298013245033,1873,2020,144,0.9536423841059603,1870,2020,141,0.9337748344370861,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,140,0.9271523178807947,1870,2020,134,0.8874172185430463,1872,2020,148,0.9801324503311258,1873,2020,140,0.9271523178807947,1873,2020,109,0.7218543046357616,1889,2020
Canada,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,87,0.5761589403973509,1934,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,149,0.9867549668874173,1870,2020,145,0.9602649006622517,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,147,0.9735099337748344,1874,2020
Denmark,151,131,0.8675496688741722,1880,2020,121,0.8013245033112583,1883,2020,119,0.7880794701986755,1880,2020,119,0.7880794701986755,1880,2020,148,0.9801324503311258,1873,2020,146,0.9668874172185431,1875,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,141,0.9337748344370861,1874,2020,137,0.9072847682119205,1876,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,147,0.9735099337748344,1874,2020
Finland,151,107,0.7086092715231788,1914,2020,104,0.6887417218543046,1917,2020,98,0.6490066225165563,1914,2020,98,0.6490066225165563,1914,2020,137,0.9072847682119205,1873,2020,142,0.9403973509933775,1870,2020,139,0.9205298013245033,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,147,0.9735099337748344,1874,2020
France,151,125,0.8278145695364238,1880,2020,116,0.7682119205298014,1883,2020,125,0.8278145695364238,1880,2020,125,0.8278145695364238,1880,2020,148,0.9801324503311258,1873,2020,144,0.9536423841059603,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,138,0.9139072847682119,1870,2020,132,0.8741721854304636,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,106,0.7019867549668874,1904,2020
Germany,151,131,0.8675496688741722,1871,2020,122,0.8079470198675497,1874,2020,124,0.8211920529801324,1873,2020,124,0.8211920529801324,1873,2020,138,0.9139072847682119,1873,2020,143,0.9470198675496688,1870,2020,142,0.9403973509933775,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,129,0.8543046357615894,1872,2020,123,0.8145695364238411,1874,2020,146,0.9668874172185431,1873,2020,146,0.9668874172185431,1873,2020,131,0.8675496688741722,1874,2020
Ireland,151,99,0.6556291390728477,1922,2020,96,0.6357615894039735,1925,2020,78,0.5165562913907285,1938,2020,78,0.5165562913907285,1938,2020,96,0.6357615894039735,1925,2020,99,0.6556291390728477,1922,2020,96,0.6357615894039735,1925,2020,98,0.6490066225165563,1923,2020,95,0.6291390728476821,1926,2020,83,0.5496688741721855,1938,2020,81,0.5364238410596026,1940,2020,96,0.6357615894039735,1925,2020,75,0.4966887417218543,1946,2020,85,0.5629139072847682,1936,2020
Italy,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,131,0.8675496688741722,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,145,0.9602649006622517,1874,2020,147,0.9735099337748344,1874,2020
Japan,151,145,0.9602649006622517,1875,2020,141,0.9337748344370861,1878,2020,144,0.9536423841059603,1875,2019,144,0.9536423841059603,1875,2019,148,0.9801324503311258,1873,2020,124,0.8211920529801324,1879,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,145,0.9602649006622517,1875,2020,141,0.9337748344370861,1877,2020,146,0.9668874172185431,1873,2020,148,0.9801324503311258,1873,2020,134,0.8874172185430463,1879,2017
Netherlands,151,145,0.9602649006622517,1870,2020,139,0.9205298013245033,1873,2020,138,0.9139072847682119,1870,2020,138,0.9139072847682119,1870,2020,145,0.9602649006622517,1873,2020,150,0.9933774834437086,1870,2020,147,0.9735099337748344,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,136,0.9006622516556292,1870,2020,130,0.8609271523178808,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,97,0.6423841059602649,1904,2020
Norway,151,134,0.8874172185430463,1880,2020,128,0.847682119205298,1883,2020,132,0.8741721854304636,1880,2020,132,0.8741721854304636,1880,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,145,0.9602649006622517,1870,2020,141,0.9337748344370861,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,137,0.9072847682119205,1874,2020
Portugal,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,141,0.9337748344370861,1880,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,127,0.8410596026490066,1874,2020
Spain,151,137,0.9072847682119205,1880,2020,131,0.8675496688741722,1883,2020,137,0.9072847682119205,1880,2020,137,0.9072847682119205,1880,2020,143,0.9470198675496688,1873,2020,148,0.9801324503311258,1870,2020,145,0.9602649006622517,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,129,0.8543046357615894,1870,2020,123,0.8145695364238411,1872,2020,148,0.9801324503311258,1873,2020,138,0.9139072847682119,1873,2020,103,0.6821192052980133,1904,2020
Sweden,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,146,0.9668874172185431,1875,2020
Switzerland,151,141,0.9337748344370861,1880,2020,138,0.9139072847682119,1883,2020,141,0.9337748344370861,1880,2020,141,0.9337748344370861,1880,2020,139,0.9205298013245033,1882,2020,141,0.9337748344370861,1880,2020,141,0.9337748344370861,1880,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,92,0.609271523178808,1921,2020,88,0.5827814569536424,1923,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,147,0.9735099337748344,1874,2020
UK,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,137,0.9072847682119205,1884,2020
USA,151,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,151,1.0,1870,2020,148,0.9801324503311258,1873,2020,150,0.9933774834437086,1871,2020,147,0.9735099337748344,1874,2020,151,1.0,1870,2020,149,0.9867549668874173,1872,2020,148,0.9801324503311258,1873,2020,148,0.9801324503311258,1873,2020,137,0.9072847682119205,1884,2020
