country,debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,infl,d_infl_3y,ca_gdp,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y
Australia,1.0,0.98,0.781,0.781,0.98,0.98,0.98,0.993,0.974,1.0,0.987,0.98,0.98,0.934
Belgium,0.907,0.834,0.901,0.901,0.921,0.954,0.934,0.993,0.974,0.927,0.887,0.98,0.927,0.722
Canada,1.0,0.98,1.0,1.0,0.98,0.576,0.98,0.993,0.974,0.987,0.96,0.98,0.98,0.974
Denmark,0.868,0.801,0.788,0.788,0.98,0.967,0.98,0.993,0.974,0.934,0.907,0.98,0.98,0.974
Finland,0.709,0.689,0.649,0.649,0.907,0.94,0.921,0.993,0.974,1.0,0.987,0.98,0.98,0.974
France,0.828,0.768,0.828,0.828,0.98,0.954,0.98,0.993,0.974,0.914,0.874,0.98,0.98,0.702
Germany,0.868,0.808,0.821,0.821,0.914,0.947,0.94,0.993,0.974,0.854,0.815,0.967,0.967,0.868
Ireland,0.656,0.636,0.517,0.517,0.636,0.656,0.636,0.649,0.629,0.55,0.536,0.636,0.497,0.563
Italy,1.0,0.98,1.0,1.0,0.98,0.868,0.98,0.993,0.974,1.0,0.987,0.98,0.96,0.974
Japan,0.96,0.934,0.954,0.954,0.98,0.821,0.98,0.993,0.974,0.96,0.934,0.967,0.98,0.887
Netherlands,0.96,0.921,0.914,0.914,0.96,0.993,0.974,0.993,0.974,0.901,0.861,0.98,0.98,0.642
Norway,0.887,0.848,0.874,0.874,0.98,0.993,0.98,0.993,0.974,0.96,0.934,0.98,0.98,0.907
Portugal,1.0,0.98,1.0,1.0,0.98,0.934,0.98,0.993,0.974,1.0,0.987,0.98,0.98,0.841
Spain,0.907,0.868,0.907,0.907,0.947,0.98,0.96,0.993,0.974,0.854,0.815,0.98,0.914,0.682
Sweden,1.0,0.98,1.0,1.0,0.98,1.0,0.98,0.993,0.974,1.0,0.987,0.98,0.98,0.967
Switzerland,0.934,0.914,0.934,0.934,0.921,0.934,0.934,0.993,0.974,0.609,0.583,0.98,0.98,0.974
UK,1.0,0.98,1.0,1.0,0.98,1.0,0.98,0.993,0.974,1.0,0.987,0.98,0.98,0.907
USA,1.0,0.98,1.0,1.0,0.98,1.0,0.98,0.993,0.974,1.0,0.987,0.98,0.98,0.907
