country,year,rule_e0,rule_e1
Belgium,1923,D3,D3
Belgium,1938,D3,D3
Finland,1945,"D2,D3","D2,D3"
France,1914,D3,D3
France,1924,D3,D3
France,1937,"D2,D3","D2,D3"
Germany,1932,D1,D1
Germany,1948,D1,D1
Ireland,1981,D2,D2
Ireland,2010,D4,D4
Italy,1915,D3,D3
Italy,1940,D1,D1
Italy,1974,D4,D4
Japan,1942,D1,D1
Netherlands,1915,D3,D3
Netherlands,1939,D3,D3
Netherlands,1951,D3,D3
Netherlands,1957,D3,D3
Portugal,1873,"D2,D3","D2,D3"
Portugal,1890,D3,D3
Portugal,1916,D2,D2
Portugal,1922,D2,D2
Portugal,1977,D4,D4
Portugal,1983,D4,D4
Portugal,2011,"D3,D4","D3,D4"
Spain,1873,D1,D1
Spain,1882,D1,D1
Spain,1936,D1,D1
Spain,1947,"D2,D3","D2,D3"
Spain,1978,D4,D4
UK,1917,"D2,D3","D2,D3"
UK,1947,D3,D3
UK,1973,D3,D3
USA,1947,D3,D3
