country,year,rule,cc_sminus0,miss_sminus0,cc_sminus1,miss_sminus1,cc_sminus2,miss_sminus2,cc_sminus3,miss_sminus3,any_lead_cc,all_leads_cc,n_leads_cc
Belgium,1923,D3,False,credit_gap_5y,False,"d_debt_gdp_3y,credit_gap_5y",False,"d_debt_gdp_3y,r_minus_g_3y,credit_gap_5y",False,"d_debt_gdp_3y,r_minus_g_3y,ca_persist_3y,credit_gap_5y",False,False,0
Belgium,1938,D3,True,,True,,True,,True,,True,True,3
Finland,1945,"D2,D3",False,"int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y",False,"int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y",False,"int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y",False,"int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y",False,False,0
France,1914,D3,False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,ca_gdp,ca_persist_3y",True,,True,,True,,True,True,3
France,1924,D3,True,,True,,False,d_debt_gdp_3y,False,"d_debt_gdp_3y,slope",True,False,1
France,1937,"D2,D3",True,,True,,True,,True,,True,True,3
Germany,1932,D1,True,,True,,True,,False,d_debt_gdp_3y,True,False,2
Germany,1948,D1,False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,ca_persist_3y,rer_usd_chg_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,ca_gdp,ca_persist_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,ca_gdp,ca_persist_3y,credit_gap_5y",False,"debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,ca_gdp,ca_persist_3y,rer_usd_chg_3y,credit_gap_5y",False,False,0
Ireland,1981,D2,True,,True,,True,,True,,True,True,3
Ireland,2010,D4,True,,True,,True,,True,,True,True,3
Italy,1915,D3,False,slope,True,,True,,True,,True,True,3
Italy,1940,D1,True,,True,,True,,True,,True,True,3
Italy,1974,D4,True,,True,,True,,True,,True,True,3
Japan,1942,D1,False,slope,False,slope,False,slope,False,slope,False,False,0
