country,year,onset,rule,in_exclusion
Australia,1870,False,,False
Australia,1871,False,,False
Australia,1872,False,,False
Australia,1873,False,,False
Australia,1874,False,,False
Australia,1875,False,,False
Australia,1876,False,,False
Australia,1877,False,,False
Australia,1878,False,,False
Australia,1879,False,,False
Australia,1880,False,,False
Australia,1881,False,,False
Australia,1882,False,,False
Australia,1883,False,,False
Australia,1884,False,,False
Australia,1885,False,,False
Australia,1886,False,,False
Australia,1887,False,,False
Australia,1888,False,,False
Australia,1889,False,,False
Australia,1890,False,,False
Australia,1891,False,,False
Australia,1892,False,,False
Australia,1893,False,,False
Australia,1894,False,,False
Australia,1895,False,,False
Australia,1896,False,,False
Australia,1897,False,,False
Australia,1898,False,,False
Australia,1899,False,,False
Australia,1900,False,,False
Australia,1901,False,,False
Australia,1902,False,,False
Australia,1903,False,,False
Australia,1904,False,,False
Australia,1905,False,,False
Australia,1906,False,,False
Australia,1907,False,,False
Australia,1908,False,,False
Australia,1909,False,,False
Australia,1910,False,,False
Australia,1911,False,,False
Australia,1912,False,,False
Australia,1913,False,,False
Australia,1914,False,,False
Australia,1915,False,,False
Australia,1916,False,,False
Australia,1917,False,,False
Australia,1918,False,,False
Australia,1919,False,,False
Australia,1920,False,,False
Australia,1921,False,,False
Australia,1922,False,,False
Australia,1923,False,,False
Australia,1924,False,,False
Australia,1925,False,,False
Australia,1926,False,,False
Australia,1927,False,,False
Australia,1928,False,,False
Australia,1929,False,,False
Australia,1930,False,,False
Australia,1931,False,,False
Australia,1932,False,,False
Australia,1933,False,,False
Australia,1934,False,,False
Australia,1935,False,,False
Australia,1936,False,,False
Australia,1937,False,,False
Australia,1938,False,,False
Australia,1939,False,,False
Australia,1940,False,,False
Australia,1941,False,,False
Australia,1942,False,,False
Australia,1943,False,,False
Australia,1944,False,,False
Australia,1945,False,,False
Australia,1946,False,,False
Australia,1947,False,,False
Australia,1948,False,,False
Australia,1949,False,,False
Australia,1950,False,,False
Australia,1951,False,,False
Australia,1952,False,,False
Australia,1953,False,,False
Australia,1954,False,,False
Australia,1955,False,,False
Australia,1956,False,,False
Australia,1957,False,,False
Australia,1958,False,,False
Australia,1959,False,,False
Australia,1960,False,,False
Australia,1961,False,,False
Australia,1962,False,,False
Australia,1963,False,,False
Australia,1964,False,,False
Australia,1965,False,,False
Australia,1966,False,,False
Australia,1967,False,,False
Australia,1968,False,,False
Australia,1969,False,,False
Australia,1970,False,,False
Australia,1971,False,,False
Australia,1972,False,,False
Australia,1973,False,,False
Australia,1974,False,,False
Australia,1975,False,,False
Australia,1976,False,,False
Australia,1977,False,,False
Australia,1978,False,,False
Australia,1979,False,,False
Australia,1980,False,,False
Australia,1981,False,,False
Australia,1982,False,,False
Australia,1983,False,,False
Australia,1984,False,,False
Australia,1985,False,,False
Australia,1986,False,,False
Australia,1987,False,,False
Australia,1988,False,,False
Australia,1989,False,,False
Australia,1990,False,,False
Australia,1991,False,,False
Australia,1992,False,,False
Australia,1993,False,,False
Australia,1994,False,,False
Australia,1995,False,,False
Australia,1996,False,,False
Australia,1997,False,,False
Australia,1998,False,,False
Australia,1999,False,,False
Australia,2000,False,,False
Australia,2001,False,,False
Australia,2002,False,,False
Australia,2003,False,,False
Australia,2004,False,,False
Australia,2005,False,,False
Australia,2006,False,,False
Australia,2007,False,,False
Australia,2008,False,,False
Australia,2009,False,,False
Australia,2010,False,,False
Australia,2011,False,,False
Australia,2012,False,,False
Australia,2013,False,,False
Australia,2014,False,,False
Australia,2015,False,,False
Australia,2016,False,,False
Australia,2017,False,,False
Australia,2018,False,,False
Australia,2019,False,,False
Australia,2020,False,,False
Belgium,1870,False,,False
Belgium,1871,False,,False
Belgium,1872,False,,False
Belgium,1873,False,,False
Belgium,1874,False,,False
Belgium,1875,False,,False
Belgium,1876,False,,False
Belgium,1877,False,,False
Belgium,1878,False,,False
Belgium,1879,False,,False
Belgium,1880,False,,False
Belgium,1881,False,,False
Belgium,1882,False,,False
Belgium,1883,False,,False
Belgium,1884,False,,False
Belgium,1885,False,,False
Belgium,1886,False,,False
Belgium,1887,False,,False
Belgium,1888,False,,False
Belgium,1889,False,,False
Belgium,1890,False,,False
Belgium,1891,False,,False
Belgium,1892,False,,False
Belgium,1893,False,,False
Belgium,1894,False,,False
Belgium,1895,False,,False
Belgium,1896,False,,False
Belgium,1897,False,,False
Belgium,1898,False,,False
Belgium,1899,False,,False
Belgium,1900,False,,False
Belgium,1901,False,,False
Belgium,1902,False,,False
Belgium,1903,False,,False
Belgium,1904,False,,False
Belgium,1905,False,,False
Belgium,1906,False,,False
Belgium,1907,False,,False
Belgium,1908,False,,False
Belgium,1909,False,,False
Belgium,1910,False,,False
Belgium,1911,False,,False
Belgium,1912,False,,False
Belgium,1913,False,,False
Belgium,1914,False,,False
Belgium,1915,False,,False
Belgium,1916,False,,False
Belgium,1917,False,,False
Belgium,1918,False,,False
Belgium,1919,False,,False
Belgium,1920,False,,False
Belgium,1921,False,,False
Belgium,1922,False,,False
Belgium,1923,True,D3,False
Belgium,1924,False,,True
Belgium,1925,False,,True
Belgium,1926,False,,True
Belgium,1927,False,,True
Belgium,1928,False,,True
Belgium,1929,False,,False
Belgium,1930,False,,False
Belgium,1931,False,,False
Belgium,1932,False,,False
Belgium,1933,False,,False
Belgium,1934,False,,False
Belgium,1935,False,,False
Belgium,1936,False,,False
Belgium,1937,False,,False
Belgium,1938,True,D3,False
Belgium,1939,False,,True
Belgium,1940,False,,True
Belgium,1941,False,,True
Belgium,1942,False,,True
Belgium,1943,False,,True
Belgium,1944,False,,False
Belgium,1945,False,,False
Belgium,1946,False,,False
Belgium,1947,False,,False
Belgium,1948,False,,False
Belgium,1949,False,,False
Belgium,1950,False,,False
Belgium,1951,False,,False
Belgium,1952,False,,False
Belgium,1953,False,,False
Belgium,1954,False,,False
Belgium,1955,False,,False
Belgium,1956,False,,False
Belgium,1957,False,,False
Belgium,1958,False,,False
Belgium,1959,False,,False
Belgium,1960,False,,False
Belgium,1961,False,,False
Belgium,1962,False,,False
Belgium,1963,False,,False
Belgium,1964,False,,False
Belgium,1965,False,,False
Belgium,1966,False,,False
Belgium,1967,False,,False
Belgium,1968,False,,False
Belgium,1969,False,,False
Belgium,1970,False,,False
Belgium,1971,False,,False
Belgium,1972,False,,False
Belgium,1973,False,,False
Belgium,1974,False,,False
Belgium,1975,False,,False
Belgium,1976,False,,False
Belgium,1977,False,,False
Belgium,1978,False,,False
Belgium,1979,False,,False
Belgium,1980,False,,False
Belgium,1981,False,,False
Belgium,1982,False,,False
Belgium,1983,False,,False
Belgium,1984,False,,False
Belgium,1985,False,,False
Belgium,1986,False,,False
Belgium,1987,False,,False
Belgium,1988,False,,False
Belgium,1989,False,,False
Belgium,1990,False,,False
Belgium,1991,False,,False
Belgium,1992,False,,False
Belgium,1993,False,,False
Belgium,1994,False,,False
Belgium,1995,False,,False
Belgium,1996,False,,False
Belgium,1997,False,,False
Belgium,1998,False,,False
Belgium,1999,False,,False
Belgium,2000,False,,False
Belgium,2001,False,,False
Belgium,2002,False,,False
Belgium,2003,False,,False
Belgium,2004,False,,False
Belgium,2005,False,,False
Belgium,2006,False,,False
Belgium,2007,False,,False
Belgium,2008,False,,False
Belgium,2009,False,,False
Belgium,2010,False,,False
Belgium,2011,False,,False
Belgium,2012,False,,False
Belgium,2013,False,,False
Belgium,2014,False,,False
Belgium,2015,False,,False
Belgium,2016,False,,False
Belgium,2017,False,,False
Belgium,2018,False,,False
Belgium,2019,False,,False
Belgium,2020,False,,False
Canada,1870,False,,False
Canada,1871,False,,False
Canada,1872,False,,False
Canada,1873,False,,False
Canada,1874,False,,False
Canada,1875,False,,False
Canada,1876,False,,False
Canada,1877,False,,False
Canada,1878,False,,False
Canada,1879,False,,False
Canada,1880,False,,False
Canada,1881,False,,False
Canada,1882,False,,False
Canada,1883,False,,False
Canada,1884,False,,False
Canada,1885,False,,False
Canada,1886,False,,False
Canada,1887,False,,False
Canada,1888,False,,False
Canada,1889,False,,False
Canada,1890,False,,False
Canada,1891,False,,False
Canada,1892,False,,False
Canada,1893,False,,False
Canada,1894,False,,False
Canada,1895,False,,False
Canada,1896,False,,False
Canada,1897,False,,False
Canada,1898,False,,False
Canada,1899,False,,False
Canada,1900,False,,False
Canada,1901,False,,False
Canada,1902,False,,False
Canada,1903,False,,False
Canada,1904,False,,False
Canada,1905,False,,False
Canada,1906,False,,False
Canada,1907,False,,False
Canada,1908,False,,False
Canada,1909,False,,False
Canada,1910,False,,False
Canada,1911,False,,False
Canada,1912,False,,False
Canada,1913,False,,False
Canada,1914,False,,False
Canada,1915,False,,False
Canada,1916,False,,False
Canada,1917,False,,False
Canada,1918,False,,False
Canada,1919,False,,False
Canada,1920,False,,False
Canada,1921,False,,False
Canada,1922,False,,False
Canada,1923,False,,False
Canada,1924,False,,False
Canada,1925,False,,False
Canada,1926,False,,False
Canada,1927,False,,False
Canada,1928,False,,False
Canada,1929,False,,False
Canada,1930,False,,False
Canada,1931,False,,False
Canada,1932,False,,False
Canada,1933,False,,False
Canada,1934,False,,False
Canada,1935,False,,False
Canada,1936,False,,False
Canada,1937,False,,False
Canada,1938,False,,False
Canada,1939,False,,False
Canada,1940,False,,False
Canada,1941,False,,False
Canada,1942,False,,False
Canada,1943,False,,False
Canada,1944,False,,False
Canada,1945,False,,False
Canada,1946,False,,False
Canada,1947,False,,False
Canada,1948,False,,False
Canada,1949,False,,False
Canada,1950,False,,False
Canada,1951,False,,False
Canada,1952,False,,False
Canada,1953,False,,False
Canada,1954,False,,False
Canada,1955,False,,False
Canada,1956,False,,False
Canada,1957,False,,False
Canada,1958,False,,False
Canada,1959,False,,False
Canada,1960,False,,False
Canada,1961,False,,False
Canada,1962,False,,False
Canada,1963,False,,False
Canada,1964,False,,False
Canada,1965,False,,False
Canada,1966,False,,False
Canada,1967,False,,False
Canada,1968,False,,False
Canada,1969,False,,False
Canada,1970,False,,False
Canada,1971,False,,False
Canada,1972,False,,False
Canada,1973,False,,False
Canada,1974,False,,False
Canada,1975,False,,False
Canada,1976,False,,False
Canada,1977,False,,False
Canada,1978,False,,False
Canada,1979,False,,False
Canada,1980,False,,False
Canada,1981,False,,False
Canada,1982,False,,False
Canada,1983,False,,False
Canada,1984,False,,False
Canada,1985,False,,False
Canada,1986,False,,False
Canada,1987,False,,False
Canada,1988,False,,False
Canada,1989,False,,False
Canada,1990,False,,False
Canada,1991,False,,False
Canada,1992,False,,False
Canada,1993,False,,False
Canada,1994,False,,False
Canada,1995,False,,False
Canada,1996,False,,False
Canada,1997,False,,False
Canada,1998,False,,False
Canada,1999,False,,False
Canada,2000,False,,False
Canada,2001,False,,False
Canada,2002,False,,False
Canada,2003,False,,False
Canada,2004,False,,False
Canada,2005,False,,False
Canada,2006,False,,False
Canada,2007,False,,False
Canada,2008,False,,False
Canada,2009,False,,False
Canada,2010,False,,False
Canada,2011,False,,False
Canada,2012,False,,False
Canada,2013,False,,False
Canada,2014,False,,False
Canada,2015,False,,False
Canada,2016,False,,False
Canada,2017,False,,False
Canada,2018,False,,False
Canada,2019,False,,False
Canada,2020,False,,False
Denmark,1870,False,,False
Denmark,1871,False,,False
Denmark,1872,False,,False
Denmark,1873,False,,False
Denmark,1874,False,,False
Denmark,1875,False,,False
Denmark,1876,False,,False
Denmark,1877,False,,False
Denmark,1878,False,,False
Denmark,1879,False,,False
Denmark,1880,False,,False
Denmark,1881,False,,False
Denmark,1882,False,,False
Denmark,1883,False,,False
Denmark,1884,False,,False
Denmark,1885,False,,False
Denmark,1886,False,,False
Denmark,1887,False,,False
Denmark,1888,False,,False
Denmark,1889,False,,False
Denmark,1890,False,,False
Denmark,1891,False,,False
Denmark,1892,False,,False
Denmark,1893,False,,False
Denmark,1894,False,,False
Denmark,1895,False,,False
Denmark,1896,False,,False
Denmark,1897,False,,False
Denmark,1898,False,,False
Denmark,1899,False,,False
Denmark,1900,False,,False
Denmark,1901,False,,False
Denmark,1902,False,,False
Denmark,1903,False,,False
Denmark,1904,False,,False
Denmark,1905,False,,False
Denmark,1906,False,,False
Denmark,1907,False,,False
Denmark,1908,False,,False
Denmark,1909,False,,False
Denmark,1910,False,,False
Denmark,1911,False,,False
Denmark,1912,False,,False
Denmark,1913,False,,False
Denmark,1914,False,,False
Denmark,1915,False,,False
Denmark,1916,False,,False
Denmark,1917,False,,False
Denmark,1918,False,,False
Denmark,1919,False,,False
Denmark,1920,False,,False
Denmark,1921,False,,False
Denmark,1922,False,,False
Denmark,1923,False,,False
Denmark,1924,False,,False
Denmark,1925,False,,False
Denmark,1926,False,,False
Denmark,1927,False,,False
Denmark,1928,False,,False
Denmark,1929,False,,False
Denmark,1930,False,,False
Denmark,1931,False,,False
Denmark,1932,False,,False
Denmark,1933,False,,False
Denmark,1934,False,,False
Denmark,1935,False,,False
