country,year,rule,debt_gdp,d_debt_gdp_3y,int_rev,primary_bal_gdp,r_minus_g_3y,slope,real_ltrate_3y,infl,d_infl_3y,ca_gdp,ca_persist_3y,rer_usd_chg_3y,real_wage_g_3y,credit_gap_5y,int_rev_is_proxy,primary_bal_uses_int_proxy,ca_persist_is_ext_proxy,complete
Belgium,1923,D3,1.26439,0.23495999999999984,0.3107758753727579,0.015010818977416698,0.017953255082019514,-0.004400000000000001,0.06359558241172465,0.14745308310991967,-0.05262484402820622,-0.10756311114708755,-0.10408930143918556,0.2853011016851479,-0.0038818161748473967,,True,True,True,False
Belgium,1938,D3,0.692671,-0.14818399999999998,0.2272628330502783,-0.010233485290648037,-0.0059053485306390305,0.017799999999999996,-0.007489459035782853,0.035374149659864074,0.051890666176380607,-0.022340029216248537,-0.02736674915222059,-0.03394385420413226,0.0944825684203694,-0.05008019142833747,True,True,True,True
Finland,1945,"D2,D3",0.5864514827660541,0.029691179974771886,,,,,,0.4022125642038721,0.22521563997980643,-0.010973824000438953,-0.02922544738897817,0.82986454059526,0.8594859756831588,-0.0629153676053539,False,False,True,False
France,1914,D3,,,,,0.029860708549371017,0.012909999999999994,0.03480727891156461,0.020408163265306145,-0.02214502822405562,,,0.013277208243625438,0.007082906857727833,-0.012058663870265163,False,False,False,False
France,1924,D3,1.9241,-0.44619999999999993,0.8238590307422964,0.06095767170663822,-0.1314076327935308,0.008140000000000001,-0.01318069565330271,0.14035087719298245,0.27149841817658893,0.05326110967931961,0.03724254481718014,0.10897581193879247,-0.06008138619060133,-0.00981984980527828,True,True,True,True
France,1937,"D2,D3",1.0676,-0.34119999999999995,0.36166591235820905,-0.0361834946981809,-0.06968664054106091,0.004900000000000002,-0.038066937669376646,0.26249999999999996,0.2977941176470589,-0.032993621021790036,-0.021820087800527094,0.41653761548874724,-0.026253022390260283,-0.04393117760388515,True,True,True,True
Germany,1932,D1,0.43,0.19,0.28576083395467744,0.02032651730519803,0.19670097079012788,0.022599999999999995,0.14977874595875867,-0.11029411752311291,-0.12345201269829476,0.006227137809396701,0.017520720009526435,0.023954717640667367,0.07016384797608666,0.15381660625988292,True,True,True,True
Germany,1948,D1,,,,,,,-0.048817859763159756,0.15384615426076165,0.12547735997812937,0.00043148119655227375,,,-0.12716727704231157,,False,False,False,False
Ireland,1981,D2,0.7183304303855076,0.11181078982852222,0.38399080716146394,0.048084798082314806,-0.033472753140722206,0.010446899999999981,0.0025455328565557045,0.20408621463852739,0.12773551907074987,-0.13163676300066324,-0.11844020614134042,-0.03850859436952525,0.015403410510169246,0.028610517295611593,True,True,True,True
Ireland,2010,D4,0.8617791247490891,0.622355850730864,0.11517302624384222,-0.020470684881361376,0.0912327778892239,0.04928217,0.06196399920257703,-0.009452387375236238,-0.0580932547009444,-0.011929848503618534,-0.04034682167928283,0.10447997644925522,0.057510059318187645,-0.20409742132780773,True,True,True,True
