infl_thresh,debt_gate,real_ret_thresh,n_onsets
0.15,0.5,-0.1,57
0.15,0.5,-0.15,42
0.15,0.5,-0.2,35
0.15,0.6,-0.1,49
0.15,0.6,-0.15,37
0.15,0.6,-0.2,31
0.15,0.75,-0.1,31
0.15,0.75,-0.15,25
0.15,0.75,-0.2,21
0.2,0.5,-0.1,58
0.2,0.5,-0.15,39
0.2,0.5,-0.2,31
0.2,0.6,-0.1,48
0.2,0.6,-0.15,34
0.2,0.6,-0.2,27
0.2,0.75,-0.1,32
0.2,0.75,-0.15,24
0.2,0.75,-0.2,20
0.25,0.5,-0.1,56
0.25,0.5,-0.15,35
0.25,0.5,-0.2,26
0.25,0.6,-0.1,47
0.25,0.6,-0.15,32
0.25,0.6,-0.2,24
0.25,0.75,-0.1,32
0.25,0.75,-0.15,24
0.25,0.75,-0.2,19
