fold,train_end,test,model,n_train,n_train_pos,n_test,n_test_pos,n_test_closed,C,auc,brier,status,base_rate_test,mean_p,grid,spec
1950|1951-1955,1950,1951-1955,M1,606,34,58,0,58,0.3,,0.07061916217049896,ok,0.0,0.10774553735873833,original,E0_full_drop_onset
1950|1951-1955,1950,1951-1955,M2,669,37,61,0,61,100.0,,0.004882996674955198,ok,0.0,0.03628807475868222,original,E0_full_drop_onset
1960|1961-1965,1960,1961-1965,M1,709,35,81,0,81,3.0,,0.0041046719681179155,ok,0.0,0.021757494404770268,original,E0_full_drop_onset
1960|1961-1965,1960,1961-1965,M2,777,38,86,0,86,100.0,,0.0021396139035859685,ok,0.0,0.026797559703456587,original,E0_full_drop_onset
1970|1971-1975,1970,1971-1975,M1,868,35,80,8,80,1.0,0.6371527777777778,0.10049823330510685,ok,0.1,0.010435083298070929,original,E0_full_drop_onset
1970|1971-1975,1970,1971-1975,M2,946,38,85,8,85,100.0,0.7987012987012987,0.09063784931134364,ok,0.09411764705882353,0.011156932694021206,original,E0_full_drop_onset
1980|1981-1985,1980,1981-1985,M1,1028,47,69,0,69,10.0,,0.11742716609354961,ok,0.0,0.20231437492742144,original,E0_full_drop_onset
1980|1981-1985,1980,1981-1985,M2,1116,50,74,0,74,100.0,,0.00763960313088938,ok,0.0,0.041270698105162026,original,E0_full_drop_onset
1990|1991-1995,1990,1991-1995,M1,1169,50,85,0,85,0.1,,0.02562349518728892,ok,0.0,0.09533366890114495,original,E0_full_drop_onset
1990|1991-1995,1990,1991-1995,M2,1267,53,90,0,90,100.0,,0.014769632781246423,ok,0.0,0.07644843499055305,original,E0_full_drop_onset
2000|2001-2005,2000,2001-2005,M1,1337,50,85,0,85,1.0,,0.008377350268006609,ok,0.0,0.05364388606639415,original,E0_full_drop_onset
2000|2001-2005,2000,2001-2005,M2,1445,53,90,0,90,100.0,,0.003892638882235032,ok,0.0,0.04229631637736527,original,E0_full_drop_onset
2010|2011-2015,2010,2011-2015,M1,1506,51,75,0,75,10.0,,0.014918547656208998,ok,0.0,0.06373841909324264,original,E0_full_drop_onset
2010|2011-2015,2010,2011-2015,M2,1624,54,80,0,80,100.0,,0.005878418722745608,ok,0.0,0.05032321035036248,original,E0_full_drop_onset
2015|2016-2020,2015,2016-2020,M1,1586,56,80,0,33,10.0,,0.005899587067889675,ok,0.0,0.0440636112140535,original,E0_full_drop_onset
2015|2016-2020,2015,2016-2020,M2,1709,59,85,0,35,100.0,,0.011779564728986848,ok,0.0,0.06398440558216052,original,E0_full_drop_onset
1950|1951-1955,1950,1951-1955,M1,606,34,58,0,58,0.3,,0.07061916217049896,ok,0.0,0.10774553735873833,tiling,E0_full_drop_onset
1950|1951-1955,1950,1951-1955,M2,669,37,61,0,61,100.0,,0.004882996674955198,ok,0.0,0.03628807475868222,tiling,E0_full_drop_onset
1955|1956-1960,1955,1956-1960,M1,639,35,75,0,75,1.0,,0.014225095950761718,ok,0.0,0.049469307944993386,tiling,E0_full_drop_onset
1955|1956-1960,1955,1956-1960,M2,702,38,80,0,80,100.0,,0.0043392738520656475,ok,0.0,0.03644662383986186,tiling,E0_full_drop_onset
1960|1961-1965,1960,1961-1965,M1,709,35,81,0,81,3.0,,0.0041046719681179155,ok,0.0,0.021757494404770268,tiling,E0_full_drop_onset
1960|1961-1965,1960,1961-1965,M2,777,38,86,0,86,100.0,,0.0021396139035859685,ok,0.0,0.026797559703456587,tiling,E0_full_drop_onset
1965|1966-1970,1965,1966-1970,M1,784,35,84,1,84,1.0,0.39759036144578314,0.024095012689259558,ok,0.011904761904761904,0.04413264096012214,tiling,E0_full_drop_onset
1965|1966-1970,1965,1966-1970,M2,857,38,89,1,89,100.0,0.8181818181818182,0.011142890589850143,ok,0.011235955056179775,0.018124209235818804,tiling,E0_full_drop_onset
1970|1971-1975,1970,1971-1975,M1,868,35,80,8,80,1.0,0.6371527777777778,0.10049823330510685,ok,0.1,0.010435083298070929,tiling,E0_full_drop_onset
1970|1971-1975,1970,1971-1975,M2,946,38,85,8,85,100.0,0.7987012987012987,0.09063784931134364,ok,0.09411764705882353,0.011156932694021206,tiling,E0_full_drop_onset
1975|1976-1980,1975,1976-1980,M1,953,40,70,6,70,10.0,0.6276041666666666,0.07607073300776213,ok,0.08571428571428572,0.049062653400143076,tiling,E0_full_drop_onset
1975|1976-1980,1975,1976-1980,M2,1036,43,75,6,75,100.0,0.5024154589371981,0.07914689140300626,ok,0.08,0.01412834313145482,tiling,E0_full_drop_onset
1980|1981-1985,1980,1981-1985,M1,1028,47,69,0,69,10.0,,0.11742716609354961,ok,0.0,0.20231437492742144,tiling,E0_full_drop_onset
1980|1981-1985,1980,1981-1985,M2,1116,50,74,0,74,100.0,,0.00763960313088938,ok,0.0,0.041270698105162026,tiling,E0_full_drop_onset
1985|1986-1990,1985,1986-1990,M1,1096,50,81,0,81,10.0,,0.07874025324984932,ok,0.0,0.15505859379853912,tiling,E0_full_drop_onset
1985|1986-1990,1985,1986-1990,M2,1189,53,86,0,86,100.0,,0.04952711869100939,ok,0.0,0.10450571657539146,tiling,E0_full_drop_onset
1990|1991-1995,1990,1991-1995,M1,1169,50,85,0,85,0.1,,0.02562349518728892,ok,0.0,0.09533366890114495,tiling,E0_full_drop_onset
1990|1991-1995,1990,1991-1995,M2,1267,53,90,0,90,100.0,,0.014769632781246423,ok,0.0,0.07644843499055305,tiling,E0_full_drop_onset
1995|1996-2000,1995,1996-2000,M1,1253,50,83,0,83,1.0,,0.017276737613687466,ok,0.0,0.06502311926383879,tiling,E0_full_drop_onset
1995|1996-2000,1995,1996-2000,M2,1356,53,88,0,88,100.0,,0.00604080361086135,ok,0.0,0.05462888901551319,tiling,E0_full_drop_onset
2000|2001-2005,2000,2001-2005,M1,1337,50,85,0,85,1.0,,0.008377350268006609,ok,0.0,0.05364388606639415,tiling,E0_full_drop_onset
2000|2001-2005,2000,2001-2005,M2,1445,53,90,0,90,100.0,,0.003892638882235032,ok,0.0,0.04229631637736527,tiling,E0_full_drop_onset
2005|2006-2010,2005,2006-2010,M1,1421,50,84,6,84,1.0,0.7307692307692307,0.053916928694602885,ok,0.07142857142857142,0.049102377681899234,tiling,E0_full_drop_onset
2005|2006-2010,2005,2006-2010,M2,1534,53,89,6,89,100.0,0.7730923694779116,0.055729353972913294,ok,0.06741573033707865,0.04681116426650479,tiling,E0_full_drop_onset
2010|2011-2015,2010,2011-2015,M1,1506,51,75,0,75,10.0,,0.014918547656208998,ok,0.0,0.06373841909324264,tiling,E0_full_drop_onset
2010|2011-2015,2010,2011-2015,M2,1624,54,80,0,80,100.0,,0.005878418722745608,ok,0.0,0.05032321035036248,tiling,E0_full_drop_onset
2015|2016-2020,2015,2016-2020,M1,1586,56,80,0,33,10.0,,0.005899587067889675,ok,0.0,0.0440636112140535,tiling,E0_full_drop_onset
2015|2016-2020,2015,2016-2020,M2,1709,59,85,0,35,100.0,,0.011779564728986848,ok,0.0,0.06398440558216052,tiling,E0_full_drop_onset
